,Model,Train R²,Test R²,Train MSE,Test MSE,Train MAE,Test MAE,Train MAPE,Test MAPE
0,Ridge,0.9973377356371992,0.07839493243203344,281609.4649171039,765286.2442127534,408.4020409253004,814.119617066007,0.7832522042196375,1.095516908677736
1,OLS,0.9976618230395063,0.2322069830578174,247328.09105155326,637563.1547025199,350.8855725583884,732.7974612767732,0.6632092485573354,0.9860912904401572
2,XGBOOST,0.9999999093474595,-1.4297336972442607,9.589060264721251,2017612.3602576624,2.4728447094298245,1156.7007211538462,0.004949017851177721,1.5375939249193136
